"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
5,35,26,14,48,8,1,12,23,21,28,45,11,49,31,46,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
43,38,42,43,21,9,36,4,38,9,48,28,26,1,30,13,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
33,14,46,18,11,8,17,20,49,36,4,36,20,30,26,20,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
33,18,28,12,2,5,42,30,47,36,44,46,19,9,20,32,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
38,10,13,1,4,47,12,49,16,10,21,35,39,44,46,31,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
4,11,8,41,20,1,27,23,29,48,9,35,33,11,17,32,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
48,12,35,29,21,38,35,24,31,18,32,10,49,39,39,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
18,31,13,20,39,29,9,28,17,50,16,26,37,11,16,21,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1
6,44,29,37,26,30,29,12,41,36,13,15,12,18,5,20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
6,47,30,3,24,43,13,39,3,41,43,25,12,36,36,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,32,44,27,16,45,33,9,22,42,29,26,42,30,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,44,25,40,33,43,23,31,17,27,36,19,2,1,1,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30,43,11,23,38,14,8,27,21,23,16,38,37,38,45,47,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
24,7,15,8,11,2,42,27,15,27,30,17,20,25,38,49,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3,9,45,9,17,10,18,19,33,5,45,21,38,28,45,2,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
48,27,29,31,11,44,19,22,25,26,6,46,11,30,21,20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
49,34,48,6,3,1,42,35,13,32,2,12,49,50,22,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,37,12,1,17,2,45,47,8,32,43,28,46,34,6,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,50,3,37,17,11,2,1,32,41,49,2,31,6,47,20,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
43,22,34,30,45,25,37,18,47,41,4,24,39,32,5,44,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
25,10,9,29,20,23,19,21,26,14,27,12,39,29,42,7,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
30,9,29,40,3,25,6,32,29,47,39,38,44,6,4,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,34,23,20,23,41,17,6,4,21,25,42,4,30,24,19,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
41,49,5,32,14,39,24,1,34,6,5,23,6,26,30,31,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
42,30,13,25,19,15,44,12,10,46,7,29,23,33,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,28,14,36,10,27,41,40,8,50,22,32,44,3,40,11,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
38,41,16,4,1,26,17,13,6,31,23,22,16,11,6,3,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
49,31,34,37,36,8,31,40,27,22,38,3,50,19,45,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,4,27,24,32,25,30,31,3,30,49,31,16,9,35,45,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
42,9,35,26,3,21,24,47,2,49,23,10,32,24,16,39,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
50,30,50,34,26,28,25,42,42,6,21,46,15,24,20,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
38,39,37,28,33,26,48,35,25,5,5,27,24,30,25,42,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
5,39,28,47,21,15,12,49,3,41,34,6,22,39,50,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
50,11,16,4,2,32,36,26,23,42,39,19,49,35,46,20,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
16,20,25,30,47,11,32,11,27,29,2,10,11,25,31,32,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
50,4,14,18,34,20,26,4,42,39,32,35,3,5,5,17,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1
47,50,21,41,11,18,12,4,3,30,17,17,9,4,37,49,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0
2,11,5,20,17,32,35,19,13,6,16,48,42,19,50,45,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
20,29,30,8,49,31,48,12,37,4,12,24,7,47,31,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
27,13,24,1,50,4,22,13,10,18,50,18,43,9,42,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44,2,47,41,3,2,34,10,27,45,11,25,26,4,47,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
13,29,49,32,16,30,12,46,6,18,38,37,41,1,25,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
31,2,24,38,9,25,18,31,9,48,15,48,28,19,5,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
40,3,12,47,3,15,22,3,43,48,24,3,49,12,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,47,14,46,22,42,45,27,6,35,22,27,3,32,46,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
45,9,41,47,24,35,44,46,13,38,37,5,35,24,5,47,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0
35,11,47,19,23,9,6,19,41,17,23,12,42,15,26,12,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
21,33,49,30,44,6,36,18,31,16,20,50,27,31,26,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,41,7,40,2,36,9,35,41,19,19,1,15,49,28,11,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
50,35,5,16,32,40,9,14,3,41,43,33,42,27,22,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
10,42,9,37,42,32,20,11,48,39,36,26,7,50,30,37,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
47,29,11,37,10,1,8,20,27,8,16,14,24,23,35,48,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
45,27,41,45,10,1,12,12,26,9,18,5,12,43,29,15,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
29,7,47,29,20,16,41,15,13,19,46,48,49,5,5,40,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
3,42,35,9,4,17,16,38,1,23,43,38,28,6,4,41,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
27,9,47,36,50,30,46,15,10,29,48,14,19,9,19,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
27,18,36,29,33,38,10,26,31,30,25,21,3,24,20,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,50,46,18,34,30,28,29,46,21,5,26,30,3,46,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
37,35,16,43,35,41,3,3,42,37,13,24,12,17,36,41,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1
39,49,24,47,49,7,10,36,19,9,20,22,5,26,39,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
10,36,29,2,42,15,44,28,11,16,31,23,42,13,26,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,12,19,44,37,33,1,41,27,45,39,18,36,9,37,44,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
31,5,12,7,5,6,28,5,17,17,34,45,19,27,39,4,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
13,35,46,3,23,25,40,16,36,16,7,3,9,7,7,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,33,49,47,16,24,50,22,17,7,13,24,43,27,8,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,20,26,8,39,32,49,13,48,37,24,33,36,16,8,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,37,9,23,3,40,48,22,26,37,12,12,19,44,11,50,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
8,40,13,30,22,6,22,1,24,11,38,2,45,18,38,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41,18,41,19,20,18,22,48,5,1,24,32,49,46,12,36,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13,38,34,42,23,2,46,28,46,36,6,44,13,10,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,32,48,15,18,5,21,4,42,4,32,43,39,49,22,18,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
37,48,18,39,33,38,24,9,31,34,22,25,33,27,9,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21,45,11,39,29,6,43,44,40,18,11,20,45,48,20,50,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
43,43,40,30,25,46,34,20,22,26,47,11,11,28,3,37,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
14,37,33,30,13,43,23,6,44,34,35,8,2,39,39,45,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,43,33,39,28,27,49,16,40,39,18,45,14,8,10,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
30,4,27,17,18,39,26,21,49,48,4,2,34,42,3,31,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
16,14,32,45,21,14,17,40,17,7,47,39,11,27,36,20,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0
24,43,50,25,17,4,32,42,5,38,18,6,34,4,28,20,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
3,2,47,34,6,22,28,17,29,32,42,43,30,16,4,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2,26,33,28,49,22,35,29,14,10,30,5,8,43,17,5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
2,50,37,36,23,47,37,37,44,37,16,49,16,31,17,30,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0
49,19,50,24,16,23,44,32,42,4,37,45,21,24,24,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
26,3,39,8,43,36,4,47,25,1,4,15,16,9,23,34,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
12,13,12,26,17,15,23,16,23,25,9,42,50,47,49,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7,1,49,28,3,34,3,15,44,5,49,27,13,30,35,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,32,48,23,1,15,21,10,30,4,7,4,2,40,27,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
34,42,39,44,25,20,27,28,24,14,36,44,37,19,9,19,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
14,22,48,47,27,25,48,37,32,13,6,34,20,25,21,28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
14,34,47,16,47,24,9,8,1,20,20,16,38,38,27,42,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,3,40,18,4,41,2,42,30,19,19,48,12,21,8,23,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
8,29,40,11,48,36,40,50,23,15,8,9,8,32,49,37,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
50,39,23,47,48,16,49,47,5,41,16,13,22,35,21,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
29,34,42,3,32,3,32,4,7,21,5,12,48,10,36,17,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
48,44,17,38,8,50,19,37,34,33,26,3,15,35,45,46,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
13,41,11,50,45,14,44,35,37,7,21,44,21,33,37,4,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
11,48,12,5,24,28,8,27,11,8,45,10,12,6,28,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
39,12,25,41,45,20,25,15,28,5,34,11,48,5,38,23,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
50,13,31,46,19,9,28,20,2,7,41,32,46,17,16,7,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
15,30,15,14,10,39,9,10,16,29,23,4,19,6,3,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
11,13,41,5,18,12,44,47,20,4,6,31,8,7,30,47,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
4,11,24,38,47,4,6,34,35,41,30,1,47,20,2,46,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
36,47,11,29,29,4,47,18,44,5,2,50,10,10,46,35,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
47,3,43,9,21,10,41,48,36,4,3,16,47,1,35,10,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
5,33,18,22,50,27,49,45,33,31,39,3,2,13,10,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,32,38,9,17,19,4,29,6,37,39,31,21,12,50,13,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0
11,45,49,44,3,44,9,7,25,39,47,16,38,27,49,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,49,10,28,45,16,15,37,13,45,1,6,1,32,12,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,22,6,11,28,35,17,18,18,7,15,13,36,12,42,19,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
14,38,43,1,43,41,33,28,18,49,11,15,15,26,43,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
32,20,28,50,9,16,21,46,15,5,4,3,2,49,12,34,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
34,34,50,50,29,28,12,21,16,16,45,44,3,19,15,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,10,6,17,14,11,42,30,31,11,16,45,43,23,10,19,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
44,21,38,45,14,46,12,46,4,27,47,29,49,50,16,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
18,6,2,18,16,50,49,9,45,43,5,32,33,20,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
46,8,16,24,43,21,26,29,35,47,11,20,6,7,6,28,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
28,10,6,19,49,19,46,7,48,30,29,9,46,49,7,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,10,15,3,13,23,6,47,40,47,33,23,22,9,22,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,20,48,25,28,20,36,28,20,25,20,8,20,41,44,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,32,1,13,36,19,1,19,32,44,31,47,32,5,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,10,19,30,46,35,35,38,39,21,49,24,14,32,44,33,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
12,16,37,33,19,26,6,43,5,38,26,31,22,24,21,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
32,39,38,30,19,26,45,4,30,46,28,41,4,49,1,22,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
12,33,44,8,4,37,9,5,30,16,40,2,29,19,40,35,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
2,7,11,25,47,32,37,39,25,36,45,44,35,6,48,33,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
19,49,15,1,48,24,10,31,20,21,26,43,38,23,3,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,11,18,20,1,13,50,42,29,31,23,42,48,3,12,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,37,42,36,25,16,21,33,35,27,32,26,39,48,32,35,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
3,44,4,38,12,25,46,1,33,8,30,12,5,18,32,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
36,41,42,48,8,31,25,17,15,31,3,5,33,43,41,50,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,13,21,14,28,48,49,24,31,43,39,28,28,7,29,49,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,32,6,7,30,30,34,33,34,11,7,12,2,46,45,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,19,27,19,38,32,35,32,48,34,17,1,49,12,48,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,43,11,48,40,41,3,21,49,50,22,37,44,49,3,48,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
35,38,18,45,8,9,18,46,47,27,13,50,49,9,40,8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6,50,48,28,3,33,43,34,5,45,10,35,46,26,38,32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
47,16,30,26,18,39,34,28,31,30,1,42,24,41,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,34,41,31,47,17,23,16,34,39,12,27,44,33,41,29,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
20,17,18,24,14,11,24,48,20,21,32,32,26,22,20,28,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
15,7,45,23,15,40,43,31,12,3,19,45,36,1,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,21,45,10,24,20,49,2,23,43,49,6,13,46,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,44,25,17,9,45,36,17,34,27,15,21,36,36,50,10,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
36,40,16,28,16,32,10,35,21,9,2,17,24,13,17,19,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
22,35,14,12,33,3,26,36,33,17,5,18,3,33,34,36,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
38,18,29,12,18,30,2,23,44,41,9,36,5,15,27,17,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
12,13,12,11,6,24,46,24,40,15,21,34,7,29,15,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30,36,11,10,27,10,28,25,48,21,14,6,45,1,8,38,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
26,31,47,5,31,10,46,13,50,43,43,39,32,7,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,32,48,26,2,10,11,3,44,20,32,6,33,8,49,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,49,19,28,24,41,48,22,10,13,20,11,11,14,22,19,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
25,48,7,8,48,36,11,34,10,46,29,19,1,14,20,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
34,21,4,31,5,47,5,45,47,6,17,22,24,41,37,32,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0
1,48,5,17,48,42,47,26,9,42,27,12,6,48,24,14,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
6,50,21,12,35,15,48,46,44,25,47,28,50,43,39,42,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,19,13,25,13,42,22,37,9,7,45,35,7,15,3,6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
49,45,26,5,38,3,2,46,37,10,48,14,38,11,31,33,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
4,40,41,44,19,43,50,11,35,18,30,34,9,31,8,8,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
8,50,47,6,50,26,14,45,42,26,3,46,5,45,37,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
34,19,43,29,44,13,19,50,30,43,49,7,34,28,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9,47,26,43,43,7,29,16,21,16,47,42,41,32,28,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18,48,26,22,42,43,30,12,12,39,12,33,2,16,41,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,49,20,14,46,17,11,43,36,25,2,45,48,43,36,18,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
33,26,45,32,16,25,26,6,1,28,38,33,16,43,47,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,36,7,20,31,46,43,5,41,44,11,7,50,50,44,29,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
15,49,6,17,23,34,26,42,16,50,40,38,19,45,50,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
27,26,30,12,46,21,26,37,26,24,38,41,22,45,6,9,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,31,38,19,19,49,2,25,42,16,24,12,5,32,14,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,43,37,46,49,17,30,6,14,40,42,10,7,9,34,38,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
17,18,49,2,25,7,37,1,41,8,5,13,21,15,4,32,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
31,5,40,38,33,14,5,34,47,3,3,31,32,49,13,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
16,1,35,13,26,6,38,35,47,32,30,39,50,33,32,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
34,13,42,49,16,5,26,36,13,38,22,43,40,48,22,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
49,9,16,34,47,18,27,29,15,49,48,22,43,19,22,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,45,9,10,41,11,14,28,49,4,49,43,36,48,46,17,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
24,26,1,13,39,38,32,6,25,9,25,27,21,44,41,46,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
14,9,27,34,50,3,39,10,44,3,9,25,45,2,21,49,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18,5,49,24,14,45,42,34,19,46,32,6,18,13,45,39,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,12,23,20,47,36,33,20,6,6,20,18,45,29,35,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,18,4,27,38,25,47,2,18,4,29,13,43,49,9,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
22,42,16,19,40,47,45,11,2,2,36,50,12,21,37,27,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
24,17,3,29,32,44,23,38,8,46,42,7,50,3,11,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17,20,20,20,4,30,34,47,31,49,47,4,17,38,2,44,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
25,1,3,47,6,39,20,38,11,35,21,36,3,28,24,42,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
24,34,2,35,2,23,35,41,33,13,4,25,3,3,49,36,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
1,18,11,20,10,22,11,10,14,16,13,12,9,23,41,46,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
26,43,31,43,30,16,48,3,18,15,26,7,5,20,48,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,3,38,39,44,15,46,12,39,30,33,10,48,44,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,27,43,39,9,27,36,18,22,24,6,29,10,33,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,41,29,26,26,3,9,41,41,41,24,2,3,19,32,37,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
30,32,32,31,3,26,49,15,47,25,46,30,19,49,38,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,32,27,13,39,6,30,29,12,11,42,43,20,22,20,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
