"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
1,47,18,34,50,38,39,48,0,0,1,0,0,0,0,0
44,49,46,13,38,4,30,31,1,0,0,0,0,0,0,0
32,12,10,24,9,21,10,24,0,0,0,0,0,1,0,0
8,37,49,49,41,48,3,44,0,0,0,0,0,0,1,1
16,29,48,37,8,25,49,31,0,0,0,0,0,0,0,0
26,28,34,8,8,25,2,30,1,0,0,0,0,0,0,0
35,20,44,44,39,48,25,11,0,0,1,1,0,0,0,1
38,19,39,17,14,29,38,25,0,0,0,0,0,0,0,0
29,39,22,50,10,30,11,10,0,0,0,0,0,0,1,0
38,3,7,32,20,7,24,39,0,1,0,0,0,0,0,0
13,42,5,45,23,10,12,32,0,1,1,0,1,0,0,0
39,28,37,37,12,42,41,11,0,0,0,0,0,1,0,1
2,41,35,41,13,29,4,49,0,0,0,0,0,0,0,0
44,50,30,50,46,9,48,48,1,0,0,0,0,0,0,0
14,40,40,44,17,21,8,31,0,0,0,1,0,1,0,0
28,8,12,44,16,50,18,29,0,0,0,1,0,0,1,0
25,49,35,14,50,29,10,5,0,0,0,0,0,0,0,1
32,11,8,33,42,50,12,1,0,1,0,0,1,0,0,0
2,2,30,30,27,36,36,19,0,0,0,0,0,0,0,0
21,30,3,33,48,40,25,23,1,0,1,0,0,0,0,1
1,48,4,41,34,47,6,4,0,0,0,0,0,0,0,0
27,48,6,37,5,33,38,17,0,0,0,0,1,0,0,0
49,43,26,10,19,16,16,50,0,0,1,0,0,0,0,0
39,50,43,39,3,25,14,21,0,0,0,0,1,0,0,1
18,6,4,12,29,46,15,43,1,0,0,0,0,0,0,0
18,16,2,11,18,26,44,44,1,0,0,1,1,1,1,1
11,34,44,9,45,16,24,41,1,0,1,0,0,0,0,0
31,1,38,3,9,39,27,31,0,0,0,1,0,0,0,0
21,19,4,13,50,29,6,22,1,0,0,0,0,0,0,0
10,5,26,15,5,31,34,25,0,1,1,0,1,0,0,0
6,50,25,20,49,9,7,5,0,0,0,0,0,0,0,1
45,7,32,1,11,12,17,5,0,0,0,0,1,0,0,1
21,3,11,43,47,41,23,46,1,1,1,0,0,0,1,0
46,2,13,43,35,20,26,29,0,0,0,0,0,0,1,0
7,8,8,27,24,22,20,6,0,0,0,0,0,0,0,0
3,14,3,1,5,22,26,39,1,0,1,0,1,0,1,0
48,28,28,41,21,47,7,41,0,0,0,0,1,0,0,0
26,1,35,23,10,45,6,41,1,0,0,1,0,0,0,0
23,1,31,26,23,7,16,47,1,0,0,1,1,0,0,0
6,17,35,18,22,11,28,16,0,0,0,1,0,1,0,0
32,28,7,32,23,40,21,21,0,0,0,0,1,0,1,1
50,14,24,46,9,38,18,16,0,0,0,0,0,0,1,0
20,23,45,40,40,5,6,15,0,1,0,0,0,1,0,0
14,22,27,9,18,14,1,36,0,0,0,0,1,0,0,0
46,37,14,19,16,43,34,45,0,0,0,0,0,0,0,0
43,46,49,15,9,10,47,3,0,0,0,0,0,0,0,1
21,15,24,38,40,37,26,42,1,0,0,0,0,0,1,1
21,29,41,22,21,37,22,25,1,0,0,0,1,0,0,0
39,47,28,37,43,10,42,15,0,0,0,0,0,0,1,0
19,37,46,49,1,22,4,14,0,0,0,0,0,0,0,0
47,45,48,1,43,24,38,39,0,0,0,0,0,0,0,0
17,11,20,32,47,22,38,16,0,1,0,0,0,0,0,0
6,29,48,36,15,23,12,49,0,0,0,0,0,1,0,0
37,30,47,18,21,3,48,6,0,0,0,1,1,1,0,0
9,43,37,24,23,9,22,7,0,0,0,0,1,0,0,0
22,46,6,31,42,22,25,24,0,0,0,0,1,0,0,0
8,18,48,12,26,23,15,20,0,1,0,0,1,1,0,0
42,2,15,41,23,12,38,44,1,0,0,0,1,0,0,1
36,35,26,16,17,39,12,40,0,0,1,0,0,0,0,0
49,48,30,22,13,10,20,13,0,0,0,0,0,0,0,0
19,47,32,46,28,24,21,6,0,0,0,0,0,0,1,0
25,29,18,4,15,22,49,50,0,0,1,0,0,0,0,0
14,49,45,40,20,29,46,9,0,0,0,0,0,0,0,0
13,48,6,14,19,32,39,16,0,0,0,0,0,0,0,0
14,41,44,10,7,27,2,11,0,0,1,0,0,0,0,1
25,18,27,20,49,22,3,44,0,1,0,0,0,0,1,1
5,21,15,18,48,19,20,40,1,1,0,1,0,0,0,0
30,22,28,6,18,17,21,29,0,0,0,0,1,0,1,0
21,22,38,34,19,13,49,33,1,0,0,0,0,0,0,0
28,26,37,41,22,3,50,1,0,1,0,0,0,1,0,0
40,42,20,48,21,49,17,13,0,1,0,0,1,0,0,0
44,5,5,42,15,2,4,20,1,1,1,1,0,0,0,0
49,40,23,36,50,26,39,38,0,0,1,0,0,1,0,0
23,12,35,7,36,37,38,10,1,0,0,0,0,0,0,0
9,28,10,37,5,6,9,39,0,0,0,0,1,0,0,0
37,50,50,40,21,22,8,2,0,0,0,0,1,0,0,0
18,30,34,41,25,14,44,22,1,0,0,0,0,0,1,0
8,36,25,2,35,47,14,32,0,0,0,0,0,0,0,0
8,41,26,10,13,8,20,41,0,0,1,0,0,0,0,0
39,17,32,33,47,36,27,44,0,0,0,0,0,0,0,1
21,36,20,43,43,19,9,7,1,0,0,0,0,0,0,0
9,1,26,17,48,29,48,49,0,0,1,0,0,0,0,0
23,12,27,12,8,35,37,39,1,0,0,0,0,0,0,0
13,38,29,4,17,1,43,36,0,0,0,0,0,0,0,0
21,2,1,39,30,40,24,47,1,0,0,0,0,0,0,0
15,32,8,39,37,42,35,40,0,0,0,0,0,1,0,0
10,34,19,36,8,16,46,24,0,0,0,0,0,0,0,0
3,2,16,11,23,27,49,26,1,0,0,1,1,0,0,1
7,34,22,8,1,9,25,32,0,0,0,0,0,0,0,0
2,38,13,10,1,33,28,45,0,0,0,0,0,0,0,0
4,41,9,17,31,30,15,3,0,0,0,0,0,0,0,1
49,19,20,22,33,35,2,43,0,0,0,0,0,0,0,0
19,14,44,32,26,23,32,8,0,0,1,0,1,1,0,0
30,33,41,11,1,29,3,15,0,0,0,1,0,0,1,0
27,13,14,34,4,27,38,8,0,0,0,0,0,0,0,0
27,3,48,46,20,28,27,21,0,1,0,0,0,0,0,1
5,41,23,24,5,32,6,31,1,0,1,0,1,0,0,0
35,30,12,37,6,38,19,38,0,0,0,0,0,0,0,0
44,32,18,22,19,27,27,36,1,0,1,0,0,0,0,0
4,35,26,5,3,36,22,13,0,0,1,1,1,0,0,0
12,46,46,2,7,9,44,43,0,0,0,0,0,0,1,0
26,44,36,26,34,5,48,48,1,1,0,1,0,1,0,0
7,43,38,5,12,6,44,17,0,0,0,1,0,0,1,0
29,11,45,29,50,1,4,3,0,1,0,0,0,0,0,1
40,6,11,8,4,24,45,20,0,0,1,0,0,0,0,0
39,10,42,28,19,24,30,50,0,0,1,0,0,0,0,0
13,3,50,31,25,30,39,4,0,1,0,0,0,0,0,0
36,7,8,7,7,28,43,12,0,0,0,0,0,0,0,0
45,36,1,47,3,23,24,1,0,0,0,0,1,1,0,0
20,36,19,32,44,38,20,12,0,0,0,0,1,0,0,0
27,50,26,26,29,4,35,22,0,0,1,1,0,0,0,0
21,47,11,33,9,28,33,25,1,0,1,0,0,0,0,0
37,45,3,39,34,10,24,37,0,0,1,0,0,0,0,0
45,46,14,9,34,22,3,37,0,0,0,0,0,0,1,0
28,44,44,29,9,8,38,46,0,1,1,0,0,0,0,0
45,25,37,38,17,5,37,50,0,0,0,0,0,1,0,0
2,38,37,20,46,22,45,30,0,0,0,0,0,0,0,0
31,16,10,6,18,33,23,22,0,0,0,0,1,0,1,0
27,11,37,33,38,25,46,47,0,1,0,0,0,0,0,0
1,14,14,7,21,8,29,15,0,0,0,0,1,0,0,0
32,19,20,26,36,25,26,36,0,0,0,1,0,0,1,0
39,23,1,16,34,8,18,3,0,1,0,0,0,0,1,1
27,46,43,32,26,32,33,26,0,0,0,0,1,0,0,1
26,44,10,39,11,9,19,37,1,1,0,0,1,0,0,0
39,15,23,2,16,16,44,20,0,0,1,0,0,0,1,0
19,25,15,16,25,17,32,12,0,0,0,0,0,0,0,0
17,40,31,26,19,21,21,5,0,0,0,1,0,1,1,1
1,49,30,48,44,44,19,25,0,0,0,0,1,1,0,0
39,46,36,20,9,35,11,48,0,0,0,0,0,0,1,0
34,39,24,33,33,49,16,35,0,0,0,0,0,0,0,0
37,46,39,30,38,40,20,11,0,0,0,0,0,0,0,1
15,6,27,43,38,2,36,38,0,0,0,0,0,0,0,0
44,41,44,23,37,50,48,18,1,0,1,1,0,0,0,1
49,1,47,12,15,41,28,11,0,0,0,0,0,0,0,1
49,3,16,26,48,35,19,46,0,1,0,1,0,0,0,0
28,12,25,15,3,12,2,40,0,0,0,0,1,0,0,0
24,14,17,35,42,45,2,32,0,0,0,0,1,0,0,0
20,13,3,50,14,31,18,34,0,0,1,0,0,0,1,0
45,46,25,29,50,36,3,44,0,0,0,0,0,0,1,1
4,47,6,6,37,48,4,5,0,0,0,0,0,0,0,1
10,30,36,10,29,42,34,37,0,0,0,0,0,1,0,0
5,43,13,30,34,38,43,8,1,0,0,0,0,0,0,0
30,32,45,49,49,35,18,1,0,0,0,0,0,0,1,0
38,36,28,31,17,32,50,2,0,0,0,0,0,0,0,0
49,14,31,27,2,11,23,28,0,0,0,0,0,1,1,0
24,3,5,24,42,35,44,6,0,1,1,0,1,0,1,0
24,22,28,17,7,2,14,6,0,0,0,0,0,0,0,0
22,2,45,37,2,47,14,42,0,0,0,0,0,0,0,1
50,28,43,49,34,12,44,23,0,0,0,0,0,0,1,1
41,32,2,41,33,37,10,20,0,0,0,0,0,0,0,0
34,50,48,28,11,23,43,1,0,0,0,0,1,1,0,0
11,22,29,23,38,22,24,25,1,0,0,1,0,0,0,0
8,44,33,16,14,39,23,17,0,1,0,0,0,0,1,0
11,21,26,20,44,22,48,16,1,1,1,0,1,0,0,0
45,35,28,12,39,9,43,23,0,0,0,0,0,0,0,1
11,25,6,8,2,30,8,4,1,0,0,0,0,0,0,0
49,28,10,35,10,48,11,46,0,0,0,0,0,0,1,0
46,30,24,44,35,23,34,12,0,0,0,1,0,1,0,0
48,24,31,36,47,39,11,20,0,0,0,0,0,0,1,0
50,32,29,7,30,27,40,4,0,0,0,0,0,0,0,0
31,28,39,41,48,19,15,2,0,0,0,0,0,0,0,0
22,17,2,38,17,33,27,11,0,0,0,0,0,0,0,1
34,25,40,14,28,31,31,7,0,0,0,0,0,0,0,0
12,14,32,49,47,13,45,28,0,0,0,0,0,0,0,0
20,34,35,27,11,47,3,13,0,0,0,0,1,0,1,0
42,46,30,33,24,18,41,2,1,0,0,0,0,1,0,0
46,9,5,33,48,25,19,11,0,0,1,0,0,0,0,1
31,9,34,45,16,39,33,38,0,0,0,0,0,0,0,0
11,46,15,4,7,21,41,41,1,0,0,0,0,1,0,0
12,21,15,11,37,23,47,9,0,1,0,1,0,1,0,0
12,9,44,29,12,48,29,42,0,0,1,0,0,0,0,1
4,26,40,1,40,36,41,7,0,1,0,0,0,0,0,0
7,29,35,42,34,28,39,30,0,0,0,1,0,0,0,0
14,8,10,9,29,37,21,17,0,0,0,0,0,0,1,0
25,21,31,47,32,10,30,4,0,1,0,0,0,0,0,0
7,30,23,44,21,38,46,21,0,0,1,1,1,0,0,1
33,50,39,40,1,31,18,27,0,0,0,0,0,0,1,0
17,29,9,34,48,23,6,37,0,0,0,0,0,1,0,0
32,38,26,29,18,4,21,30,0,0,1,0,1,0,1,0
34,15,28,49,43,22,50,40,0,0,0,0,0,0,0,0
45,7,38,4,35,21,36,20,0,0,0,0,0,1,0,0
30,47,49,5,30,40,6,47,0,0,0,1,0,0,0,0
49,45,40,41,6,23,49,37,0,0,0,0,0,1,0,0
45,7,12,13,49,35,33,38,0,0,0,0,0,0,0,0
25,6,50,21,45,29,24,18,0,0,0,1,0,0,0,1
25,28,47,45,30,10,33,13,0,0,0,0,0,0,0,0
43,45,30,34,9,8,48,14,0,0,0,0,0,0,0,0
33,23,6,23,36,4,46,1,0,1,0,1,0,0,0,0
34,4,12,41,39,12,29,25,0,0,0,0,0,0,0,0
37,24,26,3,44,13,36,11,0,0,1,1,1,0,0,1
5,40,47,10,50,29,37,34,1,0,0,0,0,0,0,0
17,28,5,18,17,6,26,6,0,0,1,1,0,0,1,0
38,19,4,20,9,43,49,43,0,0,0,0,0,0,0,0
30,38,18,15,34,46,11,29,0,0,1,0,0,0,1,0
10,14,23,3,37,40,16,6,0,0,1,1,0,0,0,0
33,32,37,8,47,36,12,7,0,0,0,0,0,0,0,0
33,42,6,19,31,35,23,24,0,1,0,0,0,0,1,0
19,15,41,30,18,28,48,50,0,0,0,0,1,0,0,0
47,43,29,43,22,16,17,10,0,0,0,0,0,0,0,0
49,34,7,50,7,39,45,3,0,0,0,0,0,0,0,1
34,8,4,9,29,17,2,14,0,0,0,0,0,0,0,0
2,32,48,34,15,5,8,25,0,0,0,0,0,1,0,0
32,49,49,46,14,44,7,34,0,0,0,0,0,1,0,0
38,11,10,49,35,8,9,16,0,1,0,0,0,0,0,0
15,18,10,10,27,21,37,11,0,1,0,0,0,1,0,1
42,4,26,2,8,40,23,50,1,0,1,0,0,0,1,0
43,1,27,40,23,33,42,42,0,0,0,0,1,0,1,1
30,37,34,16,3,30,1,5,0,0,0,0,1,0,0,1
35,42,44,1,12,43,7,47,0,1,1,0,0,0,0,0
26,43,35,15,36,27,15,40,1,0,0,0,0,0,0,0
45,18,40,33,50,28,3,27,0,1,0,0,0,0,1,0
25,12,14,22,31,36,31,33,0,0,0,0,0,0,0,0
1,31,26,12,23,34,22,17,0,0,1,0,1,0,0,0
49,37,4,20,36,45,44,25,0,0,0,0,0,0,1,0
36,30,5,45,28,44,12,50,0,0,1,0,0,1,0,0
37,35,6,37,24,2,13,40,0,0,0,0,0,0,0,0
17,11,44,39,14,29,30,20,0,1,1,0,0,0,0,0
11,22,11,10,41,3,40,6,1,0,1,0,0,1,0,0
35,49,26,32,4,21,27,14,0,0,1,0,0,1,0,0
2,24,18,32,6,19,24,47,0,0,1,0,0,0,0,0
4,48,36,30,5,13,36,20,0,0,0,0,1,0,0,0
30,35,49,45,18,44,18,9,0,0,0,0,1,1,1,0
21,7,43,34,21,35,34,1,1,0,0,0,1,0,0,0
32,7,44,41,14,43,1,40,0,0,1,0,0,0,0,0
42,10,8,36,24,19,36,36,1,0,0,0,0,0,0,0
24,36,31,17,33,47,34,44,0,0,0,0,0,0,0,1
22,43,15,12,11,20,48,49,0,0,0,0,1,0,0,0
26,45,3,50,42,2,29,36,1,0,1,0,1,0,0,0
8,41,47,6,19,20,9,48,0,0,0,0,0,0,0,0
19,27,44,6,45,42,18,38,0,0,1,0,0,1,1,0
43,30,19,9,46,26,4,13,0,0,0,0,0,1,0,0
10,32,5,39,46,41,38,39,0,0,1,0,0,0,0,0
15,43,1,32,9,50,35,46,0,0,0,0,0,0,0,0
28,14,33,8,49,14,46,38,0,0,0,0,0,0,0,0
15,32,29,19,32,9,31,40,0,0,0,0,0,0,0,0
28,46,19,14,24,6,48,36,0,0,0,0,0,0,0,0
30,33,10,35,29,17,13,39,0,0,0,0,0,0,0,0
9,43,44,47,10,48,11,20,0,0,1,0,0,0,1,0
6,8,19,20,17,31,23,42,0,0,0,0,0,0,1,1
9,49,40,30,29,1,10,20,0,0,0,0,0,0,0,0
45,48,39,21,31,48,15,20,0,0,0,1,0,0,0,0
28,26,16,25,49,11,32,33,0,1,0,0,0,1,0,0
49,28,26,23,37,50,36,3,0,0,1,1,0,0,0,1
15,32,28,8,50,39,14,11,0,0,0,0,0,0,0,1
19,49,43,11,42,37,50,43,0,0,0,1,1,0,0,0
38,4,3,35,12,32,39,8,0,0,1,0,0,0,0,0
49,31,47,50,30,2,21,42,0,0,0,0,0,0,1,1
47,28,28,14,23,40,4,36,0,0,0,0,1,0,0,0
1,41,14,21,43,29,12,28,0,0,0,1,0,0,0,0
4,34,9,43,29,21,34,17,0,0,0,0,0,1,0,0
16,16,7,10,29,14,14,47,0,0,0,0,0,0,0,0
10,25,19,25,17,31,44,42,0,0,0,0,0,0,1,1
5,50,36,23,21,33,46,27,1,0,0,1,1,0,0,0
23,30,16,31,50,6,27,22,1,0,0,0,0,0,0,0
50,14,15,31,29,38,47,13,0,0,0,0,0,0,0,0
44,45,10,9,4,14,17,37,1,0,0,0,0,0,0,0
2,48,17,9,27,48,36,48,0,0,0,0,0,0,0,0
41,5,34,25,1,14,20,4,0,1,0,0,0,0,0,0
22,25,29,39,6,45,45,34,0,0,0,0,0,0,0,0
39,48,32,18,32,28,6,8,0,0,0,1,0,0,0,0
19,16,19,16,48,50,33,21,0,0,0,0,0,0,0,1
23,11,50,39,7,16,7,3,1,1,0,0,0,0,0,1
39,7,4,13,24,38,50,34,0,0,0,0,0,0,0,0
26,31,10,40,3,38,48,8,1,0,0,0,1,0,0,0
44,36,46,27,8,11,14,33,1,0,0,0,0,1,0,0
13,43,22,14,35,27,25,30,0,0,0,0,0,0,0,0
16,19,4,40,35,21,45,34,0,0,0,0,0,1,0,0
47,31,16,39,2,36,31,41,0,0,0,0,0,0,0,0
9,26,29,7,33,21,31,7,0,1,0,0,0,1,0,0
28,14,21,27,35,6,37,13,0,0,1,0,0,0,0,0
35,27,12,18,5,2,24,16,0,0,0,1,1,0,0,0
20,36,4,30,46,2,36,39,0,0,0,0,0,0,0,0
30,17,40,27,19,44,10,34,0,0,0,0,0,1,0,0
5,37,2,41,11,4,23,46,1,0,0,0,1,0,1,0
19,8,20,13,34,15,18,36,0,0,0,0,0,0,1,0
32,21,26,35,22,49,34,21,0,1,1,0,0,0,0,1
15,43,25,47,48,46,22,36,0,0,0,0,0,0,0,0
50,5,3,50,46,16,5,14,0,1,1,0,0,0,1,0
39,7,9,2,44,30,3,49,0,0,0,0,1,0,1,0
13,4,45,29,10,17,28,40,0,0,0,0,0,0,0,0
45,47,39,38,23,12,24,41,0,0,0,0,1,0,0,0
6,14,21,10,7,15,3,3,0,0,1,0,0,0,1,1
23,13,36,12,15,35,22,25,1,0,0,0,0,0,0,0
16,41,34,35,37,17,49,47,0,0,0,0,0,0,0,0
38,14,22,16,25,25,42,50,0,0,0,0,0,0,1,0
3,50,45,12,37,11,10,7,1,0,0,0,0,1,0,0
18,27,33,23,13,9,45,39,1,0,0,1,0,0,0,0
36,20,2,32,8,14,17,8,0,0,0,0,0,0,0,0
22,2,11,44,29,15,8,5,0,0,1,1,0,0,0,1
35,40,23,42,27,21,39,47,0,0,1,1,0,1,0,0
8,33,16,32,28,4,29,44,0,0,0,0,0,0,0,1
48,47,11,18,49,6,14,41,0,0,1,1,0,0,0,0
1,5,23,32,32,10,9,42,0,1,1,0,0,0,0,1
21,16,34,34,45,31,25,11,1,0,0,0,0,0,0,1
17,48,25,25,5,12,12,11,0,0,0,0,1,0,0,1
9,23,44,19,26,41,14,2,0,1,1,0,1,0,0,0
29,12,50,50,5,9,46,36,0,0,0,0,1,0,0,0
48,38,34,23,29,44,39,6,0,0,0,1,0,1,0,0
12,49,12,11,18,37,11,43,0,0,0,1,1,0,1,0
25,3,19,14,8,8,19,29,0,1,0,0,0,0,0,0
3,27,40,17,31,36,20,7,1,0,0,0,0,0,0,0
47,41,27,38,48,8,21,36,0,0,0,0,0,0,1,0
8,23,5,37,49,4,6,7,0,1,1,0,0,0,0,0
13,37,44,43,17,9,48,37,0,0,1,0,0,0,0,0
13,45,12,12,7,49,17,35,0,0,0,0,0,0,0,0
14,39,4,45,40,41,21,20,0,0,0,0,0,0,1,0
34,8,29,26,9,48,23,21,0,0,0,1,0,0,1,1
16,6,14,44,50,40,43,19,0,0,0,1,0,0,0,0
47,44,15,47,47,24,23,39,0,1,0,0,0,0,1,0
21,23,3,29,14,41,50,4,1,1,1,0,0,0,0,0
43,34,8,31,45,7,5,38,0,0,0,0,0,0,1,0
7,18,6,8,41,48,9,20,0,1,0,0,0,0,0,0
22,40,25,35,13,24,37,31,0,0,0,0,0,0,0,0
34,20,8,44,22,37,17,32,0,0,0,1,0,0,0,0
27,34,4,6,32,14,28,2,0,0,0,0,0,0,0,0
12,35,19,43,46,4,22,49,0,0,0,0,0,0,0,0
38,15,30,20,50,50,43,24,0,0,0,0,0,0,0,0
14,34,47,46,5,40,8,26,0,0,0,0,1,0,0,1
18,37,23,13,12,3,20,32,1,0,1,0,0,1,0,0
27,18,46,27,1,39,18,14,0,1,0,0,0,0,1,0
24,41,13,35,19,31,22,49,0,0,0,0,0,0,0,0
20,8,24,46,46,26,6,25,0,0,0,0,0,1,0,0
34,8,42,24,30,12,41,47,0,0,1,0,0,0,0,0
40,29,21,25,38,32,13,11,0,0,1,0,0,0,0,1
28,31,25,19,8,8,32,47,0,0,0,0,0,0,0,0
41,26,13,29,30,47,6,32,0,1,0,0,0,0,0,0
36,38,32,41,19,33,6,20,0,0,0,0,0,0,0,0
38,35,31,39,18,10,31,30,0,0,0,0,1,0,0,0
39,5,13,48,18,38,31,2,0,1,0,0,1,0,0,0
30,33,3,3,35,14,11,24,0,0,1,1,0,0,1,0
13,21,20,25,34,36,29,10,0,1,0,0,0,0,0,0
16,38,18,39,42,12,45,28,0,0,1,0,1,0,0,0
43,20,7,46,6,13,3,21,0,0,0,0,0,0,1,1
23,33,17,24,5,28,36,32,1,0,0,0,1,0,0,0
21,17,41,35,10,46,41,39,1,0,0,0,0,0,0,0
21,31,44,17,17,32,19,37,1,0,1,0,0,0,0,0
47,43,41,32,36,36,45,38,0,0,0,0,0,0,0,0
24,41,22,48,28,31,14,12,0,0,0,0,0,0,0,0
34,25,19,15,5,43,9,31,0,0,0,0,1,0,0,0
28,42,27,13,10,13,44,45,0,1,0,0,0,0,1,0
